mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
114.39535641670227,0.4315221507609738,0.019236326217651367,0.007884068790043714,0.661009829541915,balanced,0.9328679988478339,16,"OrderedDict([('model__C', 0.661009829541915), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.9328679988478339), ('select__k', 16)])",0.5551201836591896,0.6917533238133399,0.9068517708975228,0.9256807713452011,0.8154943893152811,0.7789800878061068,0.13923168974302416,46
390.42358174324033,3.073402529161026,0.018584156036376955,0.0027854633571450385,4.7290805470559185,balanced,0.303410109884175,80,"OrderedDict([('model__C', 4.7290805470559185), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.303410109884175), ('select__k', 80)])",0.5959602461140782,0.8510425394358748,0.9601091188404137,0.9729285261893333,0.8707775906792726,0.8501636042517946,0.1357971269861542,11
148.89527173042296,10.711793716308154,0.018866252899169923,0.0029256709069879028,0.7756486208064789,balanced,0.10485915855270359,32,"OrderedDict([('model__C', 0.7756486208064789), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.10485915855270359), ('select__k', 32)])",0.5950240670444605,0.8259359312358496,0.9641722613711035,0.9762555033277052,0.8754241945501,0.8473623915058438,0.13797040838878194,26
314.2414887905121,1.2419305185934104,0.017958688735961913,0.0016975246680538045,4.2149456283335,,0.598047077512128,64,"OrderedDict([('model__C', 4.2149456283335), ('model__class_weight', None), ('model__l1_ratio', 0.598047077512128), ('select__k', 64)])",0.5926929687995645,0.7699383534616544,0.9219629353935815,0.954875441847857,0.873990404725938,0.8226920208457191,0.13087490883765154,38
332.0447030067444,0.8782270225182571,0.015308761596679687,0.0020218546233861353,3.9728931339630273,,0.5266202371276925,64,"OrderedDict([('model__C', 3.9728931339630273), ('model__class_weight', None), ('model__l1_ratio', 0.5266202371276925), ('select__k', 64)])",0.5926929687995645,0.7699383534616544,0.9219544622218712,0.954875441847857,0.873990404725938,0.8226903262113769,0.1308736234653447,39
116.0489399433136,0.4919654475759454,0.014033365249633788,0.0022033221612208823,2.9380287142759305,balanced,0.16360717863855026,16,"OrderedDict([('model__C', 2.9380287142759305), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.16360717863855026), ('select__k', 16)])",0.5271714689855664,0.6919003167919147,0.8427688850954055,0.8858988483524265,0.7848107826139366,0.74651006036785,0.12747829826390458,54
374.55961990356445,1.3690692728062197,0.02708125114440918,0.005675403771851715,1.7145838038053691,balanced,0.35902293192140394,80,"OrderedDict([('model__C', 1.7145838038053691), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.35902293192140394), ('select__k', 80)])",0.596113963151695,0.8516722640387048,0.9600543803019035,0.9728425560742897,0.8705100686047808,0.8502386464342747,0.13570818290259798,9
370.6006067276001,1.3760495069899317,0.016275691986083984,0.002446374505783001,1.221254382992285,balanced,0.49646670359671674,80,"OrderedDict([('model__C', 1.221254382992285), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.49646670359671674), ('select__k', 80)])",0.5957534925214926,0.8529002982483876,0.960139919731298,0.9728425560742897,0.8703405707374158,0.8503953674625768,0.1358556226565552,7
180.03793292045594,0.5757485671464965,0.014532518386840821,0.0013819509834312232,8.146216961026964,balanced,0.871651928463215,32,"OrderedDict([('model__C', 8.146216961026964), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.871651928463215), ('select__k', 32)])",0.5957366239470646,0.8269376638543443,0.9657948844317774,0.9774340323940524,0.8763941435692324,0.8484594696392943,0.13821317467513775,20
70.87685871124268,4.391490314597808,0.014078235626220703,0.0016366770168878162,0.10168587136004645,balanced,0.7412827443680273,16,"OrderedDict([('model__C', 0.10168587136004645), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.7412827443680273), ('select__k', 16)])",0.5447584090306399,0.6845847964503634,0.8984985948457607,0.8741693606256077,0.7788979009859988,0.7561818123876741,0.13001318161465528,51
380.53838062286377,0.9743119155020469,0.03691754341125488,0.003970897240077914,10.0,balanced,0.5302472048364565,80,"OrderedDict([('model__C', 10.0), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.5302472048364565), ('select__k', 80)])",0.5960555165220133,0.8508660361481959,0.9601091188404137,0.9729285261893333,0.8707775906792726,0.8501473576758458,0.13576125442365186,12
350.8031717300415,2.419506164515154,0.015503549575805664,0.0011100891283024235,0.1,balanced,0.5541379723365606,80,"OrderedDict([('model__C', 0.1), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.5541379723365606), ('select__k', 80)])",0.5935131092745228,0.855698951081951,0.9584186630233926,0.9708714118531881,0.8701558523215277,0.8497315975109165,0.13607968697490955,14
248.91086115837098,1.5051703427519845,0.01832408905029297,0.0021390075088865397,9.732497647905697,balanced,0.813799357051147,48,"OrderedDict([('model__C', 9.732497647905697), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.813799357051147), ('select__k', 48)])",0.5985050328520173,0.8214053629199608,0.9588643523841613,0.9716168343527452,0.8669201285562355,0.8434623422130241,0.13474573039037005,31
81.56433129310608,0.717958793878095,0.013253116607666015,0.0007757852258231403,10.0,balanced,1.0,8,"OrderedDict([('model__C', 10.0), ('model__class_weight', 'balanced'), ('model__l1_ratio', 1.0), ('select__k', 8)])",0.5232654418657441,0.6693854039564373,0.908264961718064,0.8968682113945255,0.8004012500505577,0.7596370537970657,0.14601456403432606,48
