mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
35.59242424964905,0.24734808971199906,0.12707266807556153,0.06324351925955204,0.040343472274915984,5,190,0.8631599186974098,64,"OrderedDict([('model__learning_rate', 0.040343472274915984), ('model__max_depth', 5), ('model__n_estimators', 190), ('model__subsample', 0.8631599186974098), ('select__k', 64)])",0.6125957348579142,0.8606170712114128,0.9498550637529063,0.9901644311192181,0.8963599363961244,0.8619184474675151,0.1323099433673117,37
22.568278646469118,1.1357290388171526,0.06806144714355469,0.012344034143151357,0.17255364529395611,6,96,0.9902447813186659,80,"OrderedDict([('model__learning_rate', 0.17255364529395611), ('model__max_depth', 6), ('model__n_estimators', 96), ('model__subsample', 0.9902447813186659), ('select__k', 80)])",0.6149081012575154,0.8659034397761585,0.9244703034426353,0.9783450369057213,0.8865806308203229,0.8540415024404707,0.1255355477030795,48
22.43417453765869,0.0093496678520219,0.06317973136901855,0.002274130758078771,0.045401641878176635,6,66,0.886666560374045,16,"OrderedDict([('model__learning_rate', 0.045401641878176635), ('model__max_depth', 6), ('model__n_estimators', 66), ('model__subsample', 0.886666560374045), ('select__k', 16)])",0.6133725752921529,0.8057710929570746,0.9683805131170559,0.9953935687024164,0.8973981875085579,0.8560631875154515,0.13795995579357082,43
26.885003519058227,0.12332688722847747,0.06598172187805176,0.010250722746488302,0.15849201309311142,4,140,0.9605529562312621,48,"OrderedDict([('model__learning_rate', 0.15849201309311142), ('model__max_depth', 4), ('model__n_estimators', 140), ('model__subsample', 0.9605529562312621), ('select__k', 48)])",0.6139703898811272,0.8659756261818501,0.9297861584842584,0.9825590629509214,0.8857507732596062,0.8556084021515525,0.1272979030903989,45
26.78446455001831,0.17851239341042818,0.06168804168701172,0.01340729533488855,0.15171809566296443,4,129,0.9431426524214066,80,"OrderedDict([('model__learning_rate', 0.15171809566296443), ('model__max_depth', 4), ('model__n_estimators', 129), ('model__subsample', 0.9431426524214066), ('select__k', 80)])",0.6135275821783776,0.8660357917523521,0.9336997502545259,0.9837119463771158,0.8901271364217676,0.8574204413968278,0.12837114639119482,42
23.71211185455322,0.07561945429848649,0.057337617874145506,0.01513534283756597,0.1214083024909187,6,75,0.837685058353086,64,"OrderedDict([('model__learning_rate', 0.1214083024909187), ('model__max_depth', 6), ('model__n_estimators', 75), ('model__subsample', 0.837685058353086), ('select__k', 64)])",0.6129807321587185,0.8638049806801709,0.9341169193460898,0.9862775187780758,0.8923529243620412,0.8579066150650192,0.12922625619994355,40
27.377587366104127,0.21228389377041973,0.06216878890991211,0.01974740687477495,0.08156447333825878,5,104,0.9748650590668916,48,"OrderedDict([('model__learning_rate', 0.08156447333825878), ('model__max_depth', 5), ('model__n_estimators', 104), ('model__subsample', 0.9748650590668916), ('select__k', 48)])",0.6131082177680851,0.864588731188133,0.9509784007364214,0.9895916177418946,0.8953049370299824,0.8627143808929034,0.1321039474335409,36
28.204560565948487,0.300407713772582,0.07916226387023925,0.04828472844510339,0.06348516039427839,6,124,0.9675312874121054,16,"OrderedDict([('model__learning_rate', 0.06348516039427839), ('model__max_depth', 6), ('model__n_estimators', 124), ('model__subsample', 0.9675312874121054), ('select__k', 16)])",0.6137207146997725,0.8005864614716758,0.9412942917241178,0.9941379256159532,0.8958519154999998,0.8491182618023038,0.13377480973481337,51
32.20253357887268,0.26569055622151466,0.06519017219543458,0.025303021806066184,0.2578438884524839,5,181,0.8831642175158907,32,"OrderedDict([('model__learning_rate', 0.2578438884524839), ('model__max_depth', 5), ('model__n_estimators', 181), ('model__subsample', 0.8831642175158907), ('select__k', 32)])",0.617524565138075,0.8666617491096482,0.9035693494105745,0.9518467158680626,0.8655370353050676,0.8410278829662856,0.11610665396328815,54
30.43557505607605,0.13283764579392174,0.05400967597961426,0.009063615128786522,0.010124239352823897,5,161,0.850910851572809,48,"OrderedDict([('model__learning_rate', 0.010124239352823897), ('model__max_depth', 5), ('model__n_estimators', 161), ('model__subsample', 0.850910851572809), ('select__k', 48)])",0.6130353843025796,0.845902101344653,0.9835883635236438,0.9895103852824312,0.897144194759653,0.8658360858425921,0.13743848613984336,11
18.764898586273194,0.06989014208715637,0.056966304779052734,0.010806674180920395,0.017842250988779725,3,50,0.9075040353812391,80,"OrderedDict([('model__learning_rate', 0.017842250988779725), ('model__max_depth', 3), ('model__n_estimators', 50), ('model__subsample', 0.9075040353812391), ('select__k', 80)])",0.6078259634776776,0.847463253101358,0.980461986511393,0.9915410330205523,0.8947140503691807,0.8644012572960322,0.13904765963169025,27
25.13384041786194,0.12434999916242326,0.04154305458068848,0.012999082056245828,0.01,3,133,0.9586432756745648,16,"OrderedDict([('model__learning_rate', 0.01), ('model__max_depth', 3), ('model__n_estimators', 133), ('model__subsample', 0.9586432756745648), ('select__k', 16)])",0.6086719731618948,0.716031378945388,0.9779315058343604,0.9882788161578063,0.8929358843774136,0.8367699116953726,0.15009505197202755,57
28.180548429489136,0.28731614156672836,0.08861570358276367,0.01439663367240289,0.01,3,200,0.9435581070286739,32,"OrderedDict([('model__learning_rate', 0.01), ('model__max_depth', 3), ('model__n_estimators', 200), ('model__subsample', 0.9435581070286739), ('select__k', 32)])",0.6090561786363635,0.8481746954886765,0.9826230536502685,0.9929811625005961,0.8954929150784319,0.8656656010708673,0.1392352642236804,13
