mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lr,param_model__module__dropout,param_model__module__hidden_dim,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36.42275013923645,2.5676587069758168,0.22787866592407227,0.06503707534211442,256,0.0005153017638621509,0.10238506796902752,256,48,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0005153017638621509), ('model__module__dropout', 0.10238506796902752), ('model__module__hidden_dim', 256), ('select__k', 48)])",0.6013376101109157,0.8167885037336711,0.709904322511031,0.8366309108770126,0.6956136742638288,0.7320550042992918,0.08604829637451955,50
43.030283737182614,7.2653980408925385,0.2242356777191162,0.04591825480675508,256,0.004992414197360353,0.28099264683402947,128,8,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.004992414197360353), ('model__module__dropout', 0.28099264683402947), ('model__module__hidden_dim', 128), ('select__k', 8)])",0.5216462893590903,0.6722741207132698,0.5856194717155793,0.6961794683916089,0.6444396764106591,0.6240318053180415,0.06309895202801721,60
45.95918526649475,1.2246850242286353,0.3243261814117432,0.07569135671394042,128,0.000500439091383173,0.2846319160979345,128,32,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.000500439091383173), ('model__module__dropout', 0.2846319160979345), ('model__module__hidden_dim', 128), ('select__k', 32)])",0.6049633279178269,0.821710654420082,0.7497087959017323,0.9790947469555271,0.8878766317054357,0.8086708313801207,0.12685517363098409,6
47.6872838973999,5.872354011283902,0.4628326892852783,0.13626247117736245,128,0.004999999999999999,0.1,256,32,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.004999999999999999), ('model__module__dropout', 0.1), ('model__module__hidden_dim', 256), ('select__k', 32)])",0.5980514238238364,0.7478266843428625,0.802101944756351,0.7701835955955775,0.8934673654345977,0.7623262027906451,0.0959565441749884,29
36.13874597549439,1.049570799618572,0.2068465232849121,0.05690493295800739,256,0.0011583657746093738,0.3,128,32,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0011583657746093738), ('model__module__dropout', 0.3), ('model__module__hidden_dim', 128), ('select__k', 32)])",0.6047366740925524,0.8075049520087839,0.6968476405527166,0.8071198714610119,0.8917677953238485,0.7615953866877827,0.09992191873513058,31
45.09945278167724,1.053347774335742,0.3055275440216064,0.08206947520123563,128,0.0005012106211904421,0.2953701395390057,128,32,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.0005012106211904421), ('model__module__dropout', 0.2953701395390057), ('model__module__hidden_dim', 128), ('select__k', 32)])",0.5996039892226245,0.8097475893527214,0.7019196349896591,0.8462193579573802,0.7182269128701765,0.7351434968785123,0.08679236311707783,48
54.325669860839845,4.4680197073733385,0.3593883991241455,0.10739931234816019,128,0.0025730110346029724,0.21531545949170028,128,80,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.0025730110346029724), ('model__module__dropout', 0.21531545949170028), ('model__module__hidden_dim', 128), ('select__k', 80)])",0.6043085505177845,0.812938166049243,0.6994305699416754,0.7687551093932234,0.8925458961837965,0.7555956584171446,0.09824358313486074,37
28.377317476272584,0.14634189199695946,0.18898777961730956,0.01993857598534875,512,0.0006508741926676622,0.13277230880997118,256,8,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0006508741926676622), ('model__module__dropout', 0.13277230880997118), ('model__module__hidden_dim', 256), ('select__k', 8)])",0.5428675955107926,0.671405884915447,0.5867385317112722,0.7036456674518932,0.6450775946106246,0.6299470548400059,0.05801562209254682,58
51.660738468170166,8.916976499538464,0.46739587783813474,0.2489639965042789,128,0.0005,0.3,128,80,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.0005), ('model__module__dropout', 0.3), ('model__module__hidden_dim', 128), ('select__k', 80)])",0.6041471184951422,0.8115418548010989,0.6968764972903518,0.9615883418968947,0.7648850033740975,0.767807763171517,0.11940534082027614,22
51.17275147438049,5.599438180312751,0.2694730281829834,0.09354588268903502,128,0.004999999999999999,0.3,128,16,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.004999999999999999), ('model__module__dropout', 0.3), ('model__module__hidden_dim', 128), ('select__k', 16)])",0.6055286594408676,0.7229051311345127,0.6961925585893959,0.7698184644985264,0.8918868838511316,0.7372663395028868,0.0940375134813033,47
32.69734873771667,0.6331029282742269,0.23385009765625,0.05322377318596099,256,0.0005,0.1,128,32,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0005), ('model__module__dropout', 0.1), ('model__module__hidden_dim', 128), ('select__k', 32)])",0.6030752426960307,0.8501399601271097,0.6942547483038294,0.8553800949840588,0.8739793201017538,0.7753658732425565,0.10768577214721914,15
24.31771230697632,0.24937028289065769,0.27652740478515625,0.07994201117531637,512,0.000501249866824395,0.11686874079057352,128,32,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.000501249866824395), ('model__module__dropout', 0.11686874079057352), ('model__module__hidden_dim', 128), ('select__k', 32)])",0.6036170135490199,0.8169738893051719,0.7170620117139157,0.7801365190554742,0.796222352085849,0.7428023571418862,0.0771804080617197,44
32.92876415252685,1.0304202752350444,0.21760091781616211,0.05906009900937381,256,0.0005,0.1,256,32,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0005), ('model__module__dropout', 0.1), ('model__module__hidden_dim', 256), ('select__k', 32)])",0.6027614308835036,0.8406864427086058,0.6967981145240876,0.9459545699045924,0.719703978883295,0.7611809073808169,0.1195195771892724,32
23.756966590881348,0.2104664680161857,0.19829277992248534,0.06326374294594926,512,0.0005011053376387243,0.2814422329122296,256,16,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0005011053376387243), ('model__module__dropout', 0.2814422329122296), ('model__module__hidden_dim', 256), ('select__k', 16)])",0.6007447899633409,0.7215441169499599,0.6985351414260543,0.859836102604663,0.8627878279487842,0.7486895957785604,0.10051066057284648,40
