mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,param_model__weights,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15.925860786437989,0.0029668279510997797,1.4215147972106934,0.002570348532196067,8,2,uniform,16,"OrderedDict([('model__n_neighbors', 8), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 16)])",0.6102294530348177,0.862079977605648,0.9517208427669696,0.9817363182904603,0.8742925270213119,0.8560118237438414,0.13095559950328947,1
14.399446153640747,0.3322145595958631,0.18569655418395997,0.08019276990177612,13,2,uniform,80,"OrderedDict([('model__n_neighbors', 13), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 80)])",0.6029176183884299,0.8426212745600681,0.8856047586766156,0.9394587902661459,0.8497772500479491,0.8240759383878418,0.1157708837777893,49
14.806580209732056,0.16606672971846043,0.1298853874206543,0.056022040915557694,8,2,uniform,32,"OrderedDict([('model__n_neighbors', 8), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 32)])",0.6067538485384806,0.8642022330775845,0.9150802558302044,0.9529920693016353,0.859190409796947,0.8396437633089704,0.12145896846542116,12
14.532935190200806,0.18174403743816428,0.0936391830444336,0.031731002120538664,13,1,uniform,64,"OrderedDict([('model__n_neighbors', 13), ('model__p', 1), ('model__weights', 'uniform'), ('select__k', 64)])",0.6033622095193811,0.8427296516522174,0.8857211839410606,0.9396432426075982,0.8498419461897107,0.8242596467819936,0.11565653258479076,48
15.25779194831848,0.2669103843827093,0.20113005638122558,0.09223306457651793,13,1,uniform,64,"OrderedDict([('model__n_neighbors', 13), ('model__p', 1), ('model__weights', 'uniform'), ('select__k', 64)])",0.6033622095193811,0.859603959736017,0.8857932125712821,0.9396432426075982,0.849712519317327,0.827623028750321,0.11639238736339118,41
14.694145393371581,0.07294176521249372,0.22920823097229004,0.07076988814153631,12,2,uniform,16,"OrderedDict([('model__n_neighbors', 12), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 16)])",0.6075359630367477,0.7699300266393916,0.9392547092704184,0.9643470603392735,0.8725613433140862,0.8307258205199834,0.13030211619821291,31
14.673716354370118,0.17231623733794324,0.5352801322937012,0.16211286534943817,10,2,uniform,80,"OrderedDict([('model__n_neighbors', 10), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 80)])",0.6043279806003802,0.8395531157037797,0.9140582679270596,0.9507785530267847,0.8613789571337659,0.8340193748783541,0.12130641839278938,22
14.61050624847412,0.11691191223789593,0.2384638786315918,0.015352428838131083,10,2,uniform,80,"OrderedDict([('model__n_neighbors', 10), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 80)])",0.6043279806003802,0.8395531157037797,0.9140582679270596,0.9507785530267847,0.8613789571337659,0.8340193748783541,0.12130641839278938,22
14.676130247116088,0.08028787804436986,0.2333763599395752,0.07466325560300321,14,2,uniform,32,"OrderedDict([('model__n_neighbors', 14), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 32)])",0.5999555795095903,0.856848576375619,0.9097729279545816,0.952105691171659,0.8593776226818519,0.8356120795386603,0.1229799730312357,19
14.620200300216675,0.12465078821757034,0.2169431209564209,0.1436079577887489,3,2,uniform,16,"OrderedDict([('model__n_neighbors', 3), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 16)])",0.6259879134666734,0.7796464834058082,0.9672296092082204,0.9834827128482593,0.8671062852224509,0.8446906008302824,0.13179007892176225,4
14.3895348072052,0.1766620655579285,0.1417492389678955,0.13075074167680475,6,1,uniform,16,"OrderedDict([('model__n_neighbors', 6), ('model__p', 1), ('model__weights', 'uniform'), ('select__k', 16)])",0.609640646516159,0.7746255263027313,0.9613733896720787,0.9691429506588533,0.8776373964160907,0.8384839819131826,0.13427861857260637,16
14.657832670211793,0.24063935485665558,0.14656424522399902,0.07437578697264086,8,2,uniform,48,"OrderedDict([('model__n_neighbors', 8), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 48)])",0.6060739906917056,0.861713335358114,0.9132776146136763,0.9527074060279173,0.858890814759753,0.8385326322902331,0.12133549520449438,14
14.382030296325684,0.050574279042196156,0.28822598457336424,0.05186662589851095,7,2,uniform,16,"OrderedDict([('model__n_neighbors', 7), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 16)])",0.616883066008653,0.7805287362860902,0.9097341981193193,0.948567374181408,0.8600507323431752,0.823152821387729,0.11743136318458347,50
14.778221082687377,0.10169642252631161,0.22534193992614746,0.08829482478086978,3,1,uniform,8,"OrderedDict([('model__n_neighbors', 3), ('model__p', 1), ('model__weights', 'uniform'), ('select__k', 8)])",0.43359367400906607,0.627658002953078,0.5461409654577256,0.6746600856525412,0.6037700400484166,0.5771645536241655,0.08287083877296374,52
14.315721893310547,0.11596637047048888,0.07669076919555665,0.035702699369690435,3,1,uniform,32,"OrderedDict([('model__n_neighbors', 3), ('model__p', 1), ('model__weights', 'uniform'), ('select__k', 32)])",0.6436669690772645,0.8763783120250943,0.8802558263816491,0.9227732380652185,0.8377957064402335,0.832174010397892,0.09802102780364003,26
14.64777569770813,0.08467654037314505,0.23849706649780272,0.02695549141841382,3,2,uniform,64,"OrderedDict([('model__n_neighbors', 3), ('model__p', 2), ('model__weights', 'uniform'), ('select__k', 64)])",0.644108178624037,0.8704675359541955,0.8794904848648684,0.9219537308550686,0.8375907171108714,0.8307221294818081,0.09711148136272867,32
