mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_split,param_model__n_estimators,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38.35429039001465,0.01688927762376801,6.856516361236572,0.0239407868751629,6,0.8638628715886625,5,97,64,"OrderedDict([('model__max_depth', 6), ('model__max_features', 0.8638628715886625), ('model__min_samples_split', 5), ('model__n_estimators', 97), ('select__k', 64)])",0.5308836671397782,0.7565848272961464,0.7542319419619388,0.7459516298633018,0.8674553101997897,0.731021475292191,0.10962157981334583,39
38.86229305267334,0.1846886428264621,0.1629940986633301,0.024797995457992248,9,0.9416576386904312,3,193,80,"OrderedDict([('model__max_depth', 9), ('model__max_features', 0.9416576386904312), ('model__min_samples_split', 3), ('model__n_estimators', 193), ('select__k', 80)])",0.5695736739736109,0.7575837232532464,0.7562296288508044,0.7495268138801262,0.8749737118822293,0.7415775103680036,0.09789171687747895,26
31.118371343612672,0.5884552226286712,0.05789947509765625,0.01934317554931156,6,0.9593612608346885,2,115,16,"OrderedDict([('model__max_depth', 6), ('model__max_features', 0.9593612608346885), ('model__min_samples_split', 2), ('model__n_estimators', 115), ('select__k', 16)])",0.5274667507753772,0.6583775826717838,0.7129639364945852,0.7439011566771819,0.8633543638275499,0.7012127580892956,0.10979327592331682,48
35.421058177948,0.14364959888478995,0.06872649192810058,0.006363172115348744,9,0.5859357806982803,4,170,48,"OrderedDict([('model__max_depth', 9), ('model__max_features', 0.5859357806982803), ('model__min_samples_split', 4), ('model__n_estimators', 170), ('select__k', 48)])",0.5702044893024234,0.7579517375532306,0.7559667753127957,0.7492639327024185,0.8740273396424816,0.74148285490267,0.0974123936422511,28
35.88642244338989,0.21058531042393044,0.06912293434143066,0.004384624868828014,9,0.7190145932204617,4,157,80,"OrderedDict([('model__max_depth', 9), ('model__max_features', 0.7190145932204617), ('model__min_samples_split', 4), ('model__n_estimators', 157), ('select__k', 80)])",0.5697839457498817,0.7580568844960833,0.756282199558406,0.7498422712933754,0.8750262881177707,0.7417983178431033,0.09785444831625734,24
33.31454820632935,0.21532790510630279,0.05359654426574707,0.005267454560238709,8,0.9696848688013859,2,78,64,"OrderedDict([('model__max_depth', 8), ('model__max_features', 0.9696848688013859), ('model__min_samples_split', 2), ('model__n_estimators', 78), ('select__k', 64)])",0.5692582663092046,0.756847694653278,0.7554410682367785,0.7480546792849632,0.871608832807571,0.7402421082583591,0.09701595814758764,33
35.272063446044925,0.18631381554489887,0.05749144554138184,0.0025596023958080133,7,0.8876821894139413,3,181,48,"OrderedDict([('model__max_depth', 7), ('model__max_features', 0.8876821894139413), ('model__min_samples_split', 3), ('model__n_estimators', 181), ('select__k', 48)])",0.5703621931346265,0.7574785763103937,0.7552833561139733,0.7473186119873817,0.8695583596214511,0.7400002194335652,0.09607809089591744,34
33.73933877944946,0.2955491284597272,0.04864282608032226,0.0019794995939807695,7,0.9600046132186582,3,176,16,"OrderedDict([('model__max_depth', 7), ('model__max_features', 0.9600046132186582), ('model__min_samples_split', 3), ('model__n_estimators', 176), ('select__k', 16)])",0.5734637018346213,0.6591136112717523,0.713962779939018,0.7452681388012619,0.8634069400630915,0.7110430343819489,0.09593683356226534,44
33.611184215545656,0.11812991987072292,0.06263918876647949,0.0036381835896572307,10,0.8503107223106829,5,112,32,"OrderedDict([('model__max_depth', 10), ('model__max_features', 0.8503107223106829), ('model__min_samples_split', 5), ('model__n_estimators', 112), ('select__k', 32)])",0.5704673290227619,0.7580043110246569,0.7565976238040164,0.7506309148264985,0.883596214511041,0.7438592786377949,0.09999938187210676,22
31.63360619544983,0.16923135430606512,0.040209627151489256,0.0040315580569920285,3,0.9089150098318758,4,88,48,"OrderedDict([('model__max_depth', 3), ('model__max_features', 0.9089150098318758), ('model__min_samples_split', 4), ('model__n_estimators', 88), ('select__k', 48)])",0.3722861798875046,0.5742600283896746,0.2903480180843234,0.6632492113564669,0.48438485804416404,0.47690565915242666,0.1341690873161349,60
31.1416476726532,0.3257783052819661,0.03394241333007812,0.001558575097348191,10,0.5,5,50,8,"OrderedDict([('model__max_depth', 10), ('model__max_features', 0.5), ('model__min_samples_split', 5), ('model__n_estimators', 50), ('select__k', 8)])",0.5326709772380802,0.6226276221018874,0.6757438755125644,0.7158254468980021,0.8236593059936909,0.6741054455488451,0.0967091260145194,53
32.08525791168213,0.45789906259115193,0.03407721519470215,0.0034842211108911483,3,0.9294769574486561,2,167,8,"OrderedDict([('model__max_depth', 3), ('model__max_features', 0.9294769574486561), ('model__min_samples_split', 2), ('model__n_estimators', 167), ('select__k', 8)])",0.37328497082479106,0.5410335944482414,0.348596362107034,0.6456887486855941,0.5389589905362776,0.48951253332038763,0.11212189412406592,58
31.025678873062134,0.17784325909827303,0.03049025535583496,0.0012074873514322088,7,0.5,5,50,8,"OrderedDict([('model__max_depth', 7), ('model__max_features', 0.5), ('model__min_samples_split', 5), ('model__n_estimators', 50), ('select__k', 8)])",0.5326184092940125,0.6225224751590348,0.675428451266954,0.7151419558359622,0.8239221871713985,0.6739266957454724,0.09675745562593623,54
31.239717960357666,0.21995813518889484,0.042155885696411134,0.006327799477471484,10,0.5,2,50,16,"OrderedDict([('model__max_depth', 10), ('model__max_features', 0.5), ('model__min_samples_split', 2), ('model__n_estimators', 50), ('select__k', 16)])",0.5700467854702203,0.6600073602859997,0.7138576385238146,0.7460567823343849,0.8637223974763407,0.7107381928181521,0.096983493495308,45
