mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.8391263961792,0.12099768195416151,1.466231393814087,0.1651696205501208,0.661009829541915,auto,rbf,16,"OrderedDict([('model__C', 0.661009829541915), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 16)])",0.5960481704417101,0.8108702367147864,0.9634331369420476,0.9863142575342552,0.8853705755158371,0.8484072754297273,0.14050602636821377,43
27.489537000656128,1.213053974603779,0.9328629970550537,0.24676270373518794,4.7290805470559185,auto,rbf,80,"OrderedDict([('model__C', 4.7290805470559185), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 80)])",0.6011737244368913,0.8460020517245593,0.940618162156437,0.9902668937956612,0.8901911724489919,0.8536504009125082,0.1351781454358871,38
29.723330593109132,1.1724049849119167,0.6201071739196777,0.17795826627464187,0.7756486208064789,auto,rbf,32,"OrderedDict([('model__C', 0.7756486208064789), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 32)])",0.597415486055378,0.857145025775034,0.9489004780291626,0.9876090574379405,0.8854633710943671,0.8553066836783765,0.13688271735495844,28
38.396243524551394,1.0171638010456503,0.79414381980896,0.1915571329689826,4.2149456283335,scale,rbf,64,"OrderedDict([('model__C', 4.2149456283335), ('model__gamma', 'scale'), ('model__kernel', 'rbf'), ('select__k', 64)])",0.603588287824212,0.835458735198474,0.9557650593055853,0.988673065308361,0.8882710259412189,0.8543512347155702,0.13617389786607853,36
38.528937101364136,1.640704350361421,0.8251522064208985,0.24790908987531585,3.9728931339630273,scale,rbf,64,"OrderedDict([('model__C', 3.9728931339630273), ('model__gamma', 'scale'), ('model__kernel', 'rbf'), ('select__k', 64)])",0.603588287824212,0.8378542701379539,0.9556049800573366,0.9887286549774771,0.8881190489894156,0.854779048397279,0.13609053424393286,34
27.11593985557556,1.3596148422201064,0.42216339111328127,0.06384768546789298,2.9380287142759305,auto,rbf,16,"OrderedDict([('model__C', 2.9380287142759305), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 16)])",0.6021110779299818,0.7323315919755499,0.9701794616384402,0.9863318682404195,0.8807299827606779,0.8343367965090138,0.1469978947823021,52
28.39292941093445,0.8093339551913239,0.9535943508148194,0.2109782081009188,1.7145838038053691,auto,rbf,80,"OrderedDict([('model__C', 1.7145838038053691), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 80)])",0.5963196747934016,0.8469141037225831,0.9537150327001279,0.9875657936466571,0.8871835293226774,0.8543396268370895,0.13808174302915516,37
27.75231170654297,0.8619223672027103,1.0305913925170898,0.24932760697765838,1.221254382992285,auto,rbf,80,"OrderedDict([('model__C', 1.221254382992285), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 80)])",0.5961666020000415,0.8448333187796971,0.9610818216437298,0.9860690490924444,0.8859409364652936,0.8548183455962413,0.13891559624335004,32
38.71765184402466,2.8385996546467127,0.5737601757049561,0.17167148999456294,8.146216961026964,auto,rbf,32,"OrderedDict([('model__C', 8.146216961026964), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 32)])",0.6040416024790091,0.8396645399161218,0.953745995023212,0.9899661046653654,0.8896867853942161,0.8554210054955849,0.13592954161388343,27
25.01700978279114,0.21522551474660667,0.7756861209869385,0.059634778948465354,0.10168587136004645,auto,rbf,16,"OrderedDict([('model__C', 0.10168587136004645), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 16)])",0.5913361620139586,0.7140669315369448,0.9494508700578209,0.982622571208126,0.8740218771508947,0.8222996823935491,0.1480570935395695,54
25.497452068328858,0.2041334965403241,1.158106803894043,0.08579884653883652,0.10011085699744009,scale,rbf,48,"OrderedDict([('model__C', 0.10011085699744009), ('model__gamma', 'scale'), ('model__kernel', 'rbf'), ('select__k', 48)])",0.5904138136454666,0.8446096981570512,0.9471589645745185,0.9819419078269818,0.8734697114816176,0.8475188191371272,0.1376826939037175,45
25.822928857803344,0.4665682446727203,0.6133297443389892,0.12022242939804342,9.998152744972018,auto,rbf,8,"OrderedDict([('model__C', 9.998152744972018), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 8)])",0.5463014897321168,0.6565092289736126,0.5711749533158763,0.8997947796808483,0.8031162915075225,0.6953793486419952,0.13605494724068273,58
43.848161697387695,2.979711369464677,0.7358789920806885,0.2718561535875151,9.982002763579368,scale,rbf,48,"OrderedDict([('model__C', 9.982002763579368), ('model__gamma', 'scale'), ('model__kernel', 'rbf'), ('select__k', 48)])",0.603593990481166,0.8383311633978996,0.9567681755611995,0.9890154465861406,0.8897063081909893,0.855483016843479,0.13638408596202262,25
42.74216504096985,2.853973550994524,0.580518102645874,0.16174381339452013,9.983734078943662,scale,rbf,32,"OrderedDict([('model__C', 9.983734078943662), ('model__gamma', 'scale'), ('model__kernel', 'rbf'), ('select__k', 32)])",0.6042447151008191,0.8423271707402973,0.9557614492380238,0.9902935622060978,0.8898625709802858,0.8564978936531048,0.13616182399017165,15
41.95365314483642,1.7505681337599082,0.7089427471160888,0.2503599140325712,10.0,auto,rbf,48,"OrderedDict([('model__C', 10.0), ('model__gamma', 'auto'), ('model__kernel', 'rbf'), ('select__k', 48)])",0.603553492306821,0.8366533721679884,0.9534264275615354,0.9895904188660437,0.890824160512123,0.8548095742829023,0.13612308888913388,33
