mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
113.90290188789368,0.5473425474956513,0.020053863525390625,0.008670833668791206,0.661009829541915,balanced,0.9328679988478339,16,"OrderedDict([('model__C', 0.661009829541915), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.9328679988478339), ('select__k', 16)])",0.5551201836591896,0.6917533238133399,0.9040479378795928,0.8860379891037461,0.7852236902177362,0.7644366249347209,0.1294654760182756,51
380.3943206310272,1.1280985269078938,0.018102693557739257,0.0034268713611541007,4.7290805470559185,balanced,0.303410109884175,80,"OrderedDict([('model__C', 4.7290805470559185), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.303410109884175), ('select__k', 80)])",0.5959602461140782,0.8510425394358748,0.9601091188404137,0.9729285261893333,0.8707775906792726,0.8501636042517946,0.1357971269861542,16
148.98111333847046,9.394200676382535,0.014171171188354491,0.0013847038384393402,0.7756486208064789,balanced,0.10485915855270359,32,"OrderedDict([('model__C', 0.7756486208064789), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.10485915855270359), ('select__k', 32)])",0.5950240670444605,0.8259359312358496,0.9641722613711035,0.9762555033277052,0.8754241945501,0.8473623915058438,0.13797040838878194,34
319.39663405418395,0.8040007535485065,0.015906143188476562,0.001777270001947758,4.2149456283335,,0.598047077512128,64,"OrderedDict([('model__C', 4.2149456283335), ('model__class_weight', None), ('model__l1_ratio', 0.598047077512128), ('select__k', 64)])",0.5926929687995645,0.7699383534616544,0.9219544622218712,0.954875441847857,0.873990404725938,0.8226903262113769,0.1308736234653447,44
318.1150304317474,1.029573011247927,0.015262126922607422,0.0012477767026057756,3.9728931339630273,,0.5266202371276925,64,"OrderedDict([('model__C', 3.9728931339630273), ('model__class_weight', None), ('model__l1_ratio', 0.5266202371276925), ('select__k', 64)])",0.5926929687995645,0.7699383534616544,0.9219544622218712,0.954875441847857,0.873990404725938,0.8226903262113769,0.1308736234653447,44
118.21539249420167,0.5919906667455128,0.013913869857788086,0.001440398058491003,2.9380287142759305,balanced,0.16360717863855026,16,"OrderedDict([('model__C', 2.9380287142759305), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.16360717863855026), ('select__k', 16)])",0.5550845777756046,0.6919003167919147,0.8427688850954055,0.9251987586098284,0.7848107826139366,0.759952664177338,0.12758117340354264,52
376.96261234283446,0.8192425156362885,0.01681966781616211,0.0019298765952238785,1.7145838038053691,balanced,0.35902293192140394,80,"OrderedDict([('model__C', 1.7145838038053691), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.35902293192140394), ('select__k', 80)])",0.596113963151695,0.8516722640387048,0.9600543803019035,0.9728425560742897,0.8705100686047808,0.8502386464342747,0.13570818290259798,13
370.9114842891693,1.0759550194084107,0.03277277946472168,0.001968002455667549,1.221254382992285,balanced,0.49646670359671674,80,"OrderedDict([('model__C', 1.221254382992285), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.49646670359671674), ('select__k', 80)])",0.5957534925214926,0.8529002982483876,0.960139919731298,0.9728425560742897,0.8703405707374158,0.8503953674625768,0.1358556226565552,10
178.90095071792604,0.7169066076566826,0.015289545059204102,0.0021685630718716307,8.146216961026964,balanced,0.871651928463215,32,"OrderedDict([('model__C', 8.146216961026964), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.871651928463215), ('select__k', 32)])",0.5957366239470646,0.8269376638543443,0.9657948844317774,0.9774340323940524,0.8763941435692324,0.8484594696392943,0.13821317467513775,28
70.44085879325867,4.203257075475092,0.014314603805541993,0.0016129229876175443,0.10168587136004645,balanced,0.7412827443680273,16,"OrderedDict([('model__C', 0.10168587136004645), ('model__class_weight', 'balanced'), ('model__l1_ratio', 0.7412827443680273), ('select__k', 16)])",0.5088310092093344,0.6839325045647401,0.86447164931344,0.8741693606256077,0.7788979009859988,0.7420604849398242,0.13532855860551418,57
365.23156905174255,1.202655134524372,0.03503594398498535,0.002883557033465693,1.4572257852356105,balanced,1.0,80,"OrderedDict([('model__C', 1.4572257852356105), ('model__class_weight', 'balanced'), ('model__l1_ratio', 1.0), ('select__k', 80)])",0.5957534925214926,0.8531770944600975,0.9602336868642419,0.9728425560742897,0.8704303397295916,0.8504874339299426,0.1358744645759917,9
374.9319627761841,0.733649268481682,0.015453004837036132,0.001198109953762993,8.064051000387368,balanced,1.0,80,"OrderedDict([('model__C', 8.064051000387368), ('model__class_weight', 'balanced'), ('model__l1_ratio', 1.0), ('select__k', 80)])",0.5959602461140782,0.8509712418551936,0.9601091188404137,0.9729285261893333,0.8707775906792726,0.8501493447356584,0.13579703768730747,17
82.0710690498352,0.321335801429402,0.013682031631469726,0.0005553398673953084,10.0,balanced,1.0,8,"OrderedDict([('model__C', 10.0), ('model__class_weight', 'balanced'), ('model__l1_ratio', 1.0), ('select__k', 8)])",0.5232654418657441,0.6693854039564373,0.908264961718064,0.8968682113945255,0.8004012500505577,0.7596370537970657,0.14601456403432606,53
245.83381662368774,1.4457566879666657,0.01436300277709961,0.0012876222067187638,6.55437945207139,balanced,1.0,48,"OrderedDict([('model__C', 6.55437945207139), ('model__class_weight', 'balanced'), ('model__l1_ratio', 1.0), ('select__k', 48)])",0.5992326924919535,0.8158607701657203,0.9588643523841613,0.9716168343527452,0.8669201285562355,0.8424989555901632,0.13468243653920625,37
