mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_split,param_model__n_estimators,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18.822572326660158,0.024429772096033725,0.18922090530395508,0.017320856731795453,6,0.8638628715886625,5,97,64,"OrderedDict([('model__max_depth', 6), ('model__max_features', 0.8638628715886625), ('model__min_samples_split', 5), ('model__n_estimators', 97), ('select__k', 64)])",0.603390228460822,0.8330454771641689,0.9751624612382731,0.9831273151774813,0.8914772419316759,0.8572405447944842,0.1385284037058372,26
19.177847242355348,0.5006471499464062,0.0974238395690918,0.027091828033267033,9,0.9416576386904312,3,193,80,"OrderedDict([('model__max_depth', 9), ('model__max_features', 0.9416576386904312), ('model__min_samples_split', 3), ('model__n_estimators', 193), ('select__k', 80)])",0.6058434712982599,0.8360573842728782,0.9598486180406247,0.9830338968930543,0.8921805344172669,0.8553927809844168,0.13505949111334714,37
16.268495178222658,0.7401223060846134,0.03434047698974609,0.019177685699643576,6,0.9593612608346885,2,115,16,"OrderedDict([('model__max_depth', 6), ('model__max_features', 0.9593612608346885), ('model__min_samples_split', 2), ('model__n_estimators', 115), ('select__k', 16)])",0.5997194741592696,0.718178414334126,0.974695165871645,0.9859761035618356,0.8857498190940005,0.8328637954041753,0.1509075605923692,50
18.117556428909303,0.8824773080441067,0.05547995567321777,0.02444508179209716,9,0.5859357806982803,4,170,48,"OrderedDict([('model__max_depth', 9), ('model__max_features', 0.5859357806982803), ('model__min_samples_split', 4), ('model__n_estimators', 170), ('select__k', 48)])",0.6067551543628759,0.8380098135353916,0.9684659506898914,0.9841822854463919,0.892038076596355,0.8578902561261812,0.1362400865209638,18
19.822151231765748,0.0552233725153218,0.07335853576660156,0.03396905908165006,9,0.7190145932204617,4,157,80,"OrderedDict([('model__max_depth', 9), ('model__max_features', 0.7190145932204617), ('model__min_samples_split', 4), ('model__n_estimators', 157), ('select__k', 80)])",0.6068076303052975,0.8364514805869123,0.9613914175043226,0.983995157993859,0.8930911380538289,0.856347364888844,0.1351623041302912,31
17.232788705825804,0.3102043033150394,0.02823781967163086,0.004081024910183264,8,0.9696848688013859,2,78,64,"OrderedDict([('model__max_depth', 8), ('model__max_features', 0.9696848688013859), ('model__min_samples_split', 2), ('model__n_estimators', 78), ('select__k', 64)])",0.6069008696426444,0.8385335937347566,0.9702678658726044,0.9826803791519606,0.8923215538959527,0.8581408524595838,0.13620341754664267,16
19.604453563690186,0.06013025309489162,0.03248686790466308,0.008602741779081446,7,0.8876821894139413,3,181,48,"OrderedDict([('model__max_depth', 7), ('model__max_features', 0.8876821894139413), ('model__min_samples_split', 3), ('model__n_estimators', 181), ('select__k', 48)])",0.6060450447466856,0.8326239734422425,0.9750375149227275,0.9832526316493578,0.8918642147986362,0.8577646759119301,0.1375919706899593,20
18.9842041015625,0.07047013209702112,0.035696887969970705,0.009709339870362111,7,0.9600046132186582,3,176,16,"OrderedDict([('model__max_depth', 7), ('model__max_features', 0.9600046132186582), ('model__min_samples_split', 3), ('model__n_estimators', 176), ('select__k', 16)])",0.6050836801037004,0.7815401067026732,0.9725951404635759,0.9863662337959069,0.8902648383573373,0.8471699998846388,0.14133456168359496,43
17.838395643234254,0.07690912730980005,0.05544471740722656,0.01628738941974983,10,0.8503107223106829,5,112,32,"OrderedDict([('model__max_depth', 10), ('model__max_features', 0.8503107223106829), ('model__min_samples_split', 5), ('model__n_estimators', 112), ('select__k', 32)])",0.6074691285947438,0.8290333309250053,0.9525243731226414,0.9841620308139868,0.891603277968763,0.852958428285028,0.1337599294566014,42
16.60769510269165,0.08838970098036349,0.02727541923522949,0.01050757723530423,3,0.9089150098318758,4,88,48,"OrderedDict([('model__max_depth', 3), ('model__max_features', 0.9089150098318758), ('model__min_samples_split', 4), ('model__n_estimators', 88), ('select__k', 48)])",0.4728870182028369,0.4633819881680004,0.3095166464684177,0.9866087870389798,0.7171130340766447,0.5899014947909759,0.23743406996737165,59
15.78694543838501,0.09816567344408784,0.016123342514038085,0.0018365134229214918,9,0.5,5,50,8,"OrderedDict([('model__max_depth', 9), ('model__max_features', 0.5), ('model__min_samples_split', 5), ('model__n_estimators', 50), ('select__k', 8)])",0.5547213274522085,0.6825623660692506,0.6007869782309885,0.9402124965941455,0.8311361728608914,0.7218838682414969,0.14405374578220978,52
18.509051942825316,0.12545242489084205,0.017249155044555663,0.002031396091184383,3,0.9294769574486561,2,167,8,"OrderedDict([('model__max_depth', 3), ('model__max_features', 0.9294769574486561), ('model__min_samples_split', 2), ('model__n_estimators', 167), ('select__k', 8)])",0.4418122609867898,0.4153765387454121,0.2717651992766892,0.9365949317805867,0.654732769276251,0.5440563400131457,0.23129661748283686,60
16.145719051361084,0.023723531550361582,0.030986690521240236,0.0007546957093156858,7,0.5,5,50,48,"OrderedDict([('model__max_depth', 7), ('model__max_features', 0.5), ('model__min_samples_split', 5), ('model__n_estimators', 50), ('select__k', 48)])",0.6063231350791147,0.8363767402795196,0.9746703699023896,0.9829269601197088,0.8915857025245603,0.8583765815810587,0.1372259600956677,10
19.202565670013428,0.12255341319505,0.02965855598449707,0.006048702317759242,7,0.5,5,200,48,"OrderedDict([('model__max_depth', 7), ('model__max_features', 0.5), ('model__min_samples_split', 5), ('model__n_estimators', 200), ('select__k', 48)])",0.6059584370452922,0.8317966317878146,0.9751882813946856,0.9828779749961991,0.891538393882836,0.8574719438213656,0.13759549232827936,24
